what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229063784
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229063884
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319229075652
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229083698
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1319229088277
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1319229100120
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319229107570
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229110584
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229126594
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1319229126646
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229132782
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229139117
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229179835
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229185346
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319229185445
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229185620
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1319229185662
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1319229185662
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229201799
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229208092
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1319229208138
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229213420
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229225733
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1319229225778
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319229240587
