what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230305279
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230318732
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1319230318798
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230325324
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230333755
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230336014
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230350341
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1319230350388
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319230359859
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319230364044
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319230372810
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230382202
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230384114
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1319230384182
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319230388568
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230392222
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319230395845
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230396063
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1319230396104
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1319230396104
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1319230398355
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ant",1319230398728
