what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1319228537652
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319228537652
java.specification.version,sysinfo,,,"1.6",1319228537652
java.vendor,sysinfo,,,"Apple Inc.",1319228537652
java.version,sysinfo,,,"1.6.0_26",1319228537652
java.vm.info,sysinfo,,,"mixed mode",1319228537652
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1319228537652
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319228537652
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319228537652
java.vm.specification.version,sysinfo,,,"1.0",1319228537652
java.vm.vendor,sysinfo,,,"Apple Inc.",1319228537652
java.vm.version,sysinfo,,,"20.1-b02-384",1319228537652
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1319228537698
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1319228537752
started,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1319228537786
started,bundle,com.atlassw.tools.eclipse.checkstyle,4.4.3,"com.atlassw.tools.eclipse.checkstyle",1319228537925
started,bundle,net.sf.eclipsecs.core,5.0.3.200911042225,"net.sf.eclipsecs.core",1319228538066
started,bundle,net.sf.eclipsecs.ui,5.0.3.200911042225,"net.sf.eclipsecs.ui",1319228538100
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1319228538266
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1319228538304
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1319228538387
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1319228538431
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1319228538530
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319228538577
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1319228538601
